assessmentId,farmId,hygieneScore,waterQualityScore,feedManagementScore,visitorControlScore,wasteManagementScore,vaccinationComplianceScore,totalBiosecurityScore,riskLevel,assessmentDate
BIO-6000,FARM-2000,13,12,16,19,20,18,82,Low,2025-11-07
BIO-6001,FARM-2001,11,5,15,5,16,6,48,High,2024-11-29
BIO-6002,FARM-2002,19,12,20,17,7,16,76,Moderate,2025-03-14
BIO-6003,FARM-2003,20,8,17,14,11,9,66,Moderate,2025-06-16
BIO-6004,FARM-2004,6,9,20,7,14,19,62,Moderate,2024-06-21
BIO-6005,FARM-2005,19,8,20,12,12,11,68,Moderate,2024-06-23
BIO-6006,FARM-2006,7,8,18,5,10,15,52,Moderate,2025-01-27
BIO-6007,FARM-2007,13,12,13,20,8,9,62,Moderate,2025-07-01
BIO-6008,FARM-2008,20,7,15,12,7,15,63,Moderate,2025-01-21
BIO-6009,FARM-2009,17,18,12,12,13,8,67,Moderate,2024-10-24
BIO-6010,FARM-2010,7,8,7,15,11,8,47,High,2025-08-09
BIO-6011,FARM-2011,16,9,15,17,5,14,63,Moderate,2024-03-04
BIO-6012,FARM-2012,11,17,18,15,16,9,72,Moderate,2025-06-16
BIO-6013,FARM-2013,12,8,17,5,19,15,63,Moderate,2024-05-28
BIO-6014,FARM-2014,14,12,20,19,9,14,73,Moderate,2024-05-29
BIO-6015,FARM-2015,6,15,14,8,13,20,63,Moderate,2025-10-08
BIO-6016,FARM-2016,11,20,14,17,6,15,69,Moderate,2024-06-05
BIO-6017,FARM-2017,11,12,6,10,20,17,63,Moderate,2024-11-02
BIO-6018,FARM-2018,10,5,17,15,18,20,71,Moderate,2024-12-22
BIO-6019,FARM-2019,17,17,7,14,14,11,67,Moderate,2025-12-18
BIO-6020,FARM-2020,17,8,9,15,6,14,57,Moderate,2025-04-13
BIO-6021,FARM-2021,10,9,19,20,14,9,68,Moderate,2024-08-02
BIO-6022,FARM-2022,11,11,5,16,8,9,50,High,2025-01-20
BIO-6023,FARM-2023,18,10,6,8,16,20,65,Moderate,2024-07-02
BIO-6024,FARM-2024,6,8,15,18,9,17,61,Moderate,2024-09-07
BIO-6025,FARM-2025,6,8,12,17,20,14,64,Moderate,2025-12-05
BIO-6026,FARM-2026,10,17,7,19,17,13,69,Moderate,2025-10-09
BIO-6027,FARM-2027,19,16,5,8,8,7,52,Moderate,2024-05-04
BIO-6028,FARM-2028,20,12,5,20,13,8,65,Moderate,2025-08-30
BIO-6029,FARM-2029,10,17,20,18,14,9,73,Moderate,2024-04-11
BIO-6030,FARM-2030,15,7,10,17,5,17,59,Moderate,2025-07-23
BIO-6031,FARM-2031,20,7,8,11,8,10,53,Moderate,2025-09-05
BIO-6032,FARM-2032,10,5,19,15,8,6,52,Moderate,2024-05-11
BIO-6033,FARM-2033,11,10,7,13,6,7,45,High,2024-05-07
BIO-6034,FARM-2034,14,16,10,18,5,12,62,Moderate,2024-11-03
BIO-6035,FARM-2035,6,14,19,9,20,15,69,Moderate,2025-06-19
BIO-6036,FARM-2036,16,11,8,6,12,6,49,High,2024-07-11
BIO-6037,FARM-2037,9,14,11,9,11,16,58,Moderate,2024-10-11
BIO-6038,FARM-2038,9,18,7,13,13,17,64,Moderate,2025-10-27
BIO-6039,FARM-2039,10,17,19,7,13,18,70,Moderate,2025-12-12
BIO-6040,FARM-2040,9,11,7,13,11,16,56,Moderate,2025-07-31
BIO-6041,FARM-2041,10,18,9,15,18,17,72,Moderate,2024-01-27
