outbreakId,diseaseName,district,state,outbreakDate,affectedAnimals,severity
OUT-5000,Foot and Mouth Disease,Kozhikode,Kerala,2026-02-19,194,High
OUT-5001,Foot and Mouth Disease,Nizamabad,Telangana,2026-07-26,1480,Low
OUT-5002,Foot and Mouth Disease,Visakhapatnam,Andhra Pradesh,2026-01-10,584,Moderate
OUT-5003,African Swine Fever,Warangal,Telangana,2026-01-02,411,High
OUT-5004,Swine Influenza,Nizamabad,Telangana,2026-01-29,1791,Low
OUT-5005,Swine Influenza,Guntur,Andhra Pradesh,2026-02-13,1140,Low
OUT-5006,Newcastle Disease,Hyderabad,Telangana,2026-05-25,369,Low
OUT-5007,Bird Flu,Madurai,Tamil Nadu,2026-02-02,541,High
OUT-5008,Newcastle Disease,Thiruvananthapuram,Kerala,2026-07-06,1612,Low
OUT-5009,Bird Flu,Karimnagar,Telangana,2026-06-27,1398,Moderate
OUT-5010,Newcastle Disease,Kozhikode,Kerala,2026-08-15,939,Low
OUT-5011,Bird Flu,Mangaluru,Karnataka,2026-08-07,1932,Moderate
OUT-5012,Foot and Mouth Disease,Mangaluru,Karnataka,2026-02-01,1402,Moderate
OUT-5013,Foot and Mouth Disease,Visakhapatnam,Andhra Pradesh,2026-05-13,1564,Low
OUT-5014,Bird Flu,Thiruvananthapuram,Kerala,2026-03-13,1890,Moderate
OUT-5015,Foot and Mouth Disease,Vijayawada,Andhra Pradesh,2026-01-02,812,Low
OUT-5016,Newcastle Disease,Erode,Tamil Nadu,2026-07-26,61,High
OUT-5017,Swine Influenza,Thiruvananthapuram,Kerala,2026-01-20,1888,Low
OUT-5018,Foot and Mouth Disease,Trichy,Tamil Nadu,2026-03-21,138,Moderate
OUT-5019,Bird Flu,Chennai,Tamil Nadu,2026-05-03,894,High
OUT-5020,Foot and Mouth Disease,Hyderabad,Telangana,2026-08-04,522,Low
OUT-5021,African Swine Fever,Visakhapatnam,Andhra Pradesh,2026-03-29,1714,Low
OUT-5022,Newcastle Disease,Bengaluru,Karnataka,2026-07-23,494,High
OUT-5023,Newcastle Disease,Warangal,Telangana,2026-04-23,1574,Low
OUT-5024,Newcastle Disease,Vijayawada,Andhra Pradesh,2026-02-01,185,High
OUT-5025,Swine Influenza,Salem,Tamil Nadu,2026-03-22,1832,High
OUT-5026,African Swine Fever,Erode,Tamil Nadu,2026-01-16,1892,High
OUT-5027,Foot and Mouth Disease,Salem,Tamil Nadu,2026-06-06,1292,Moderate
OUT-5028,Bird Flu,Chennai,Tamil Nadu,2026-05-24,116,Low
OUT-5029,Swine Influenza,Hubli,Karnataka,2026-01-25,1274,High
OUT-5030,Newcastle Disease,Thiruvananthapuram,Kerala,2026-07-21,1361,Moderate
OUT-5031,Swine Influenza,Vijayawada,Andhra Pradesh,2026-04-29,1638,Moderate
OUT-5032,Newcastle Disease,Warangal,Telangana,2026-01-26,705,Moderate
OUT-5033,Bird Flu,Karimnagar,Telangana,2026-04-27,1069,Moderate
OUT-5034,Bird Flu,Kochi,Kerala,2026-01-27,35,Moderate
OUT-5035,Newcastle Disease,Erode,Tamil Nadu,2026-07-22,1731,Low
OUT-5036,African Swine Fever,Hyderabad,Telangana,2026-06-13,1052,Low
OUT-5037,Swine Influenza,Mangaluru,Karnataka,2026-07-05,1281,Moderate
OUT-5038,African Swine Fever,Thiruvananthapuram,Kerala,2026-07-24,100,Low
OUT-5039,Newcastle Disease,Thrissur,Kerala,2026-04-22,1060,High
OUT-5040,Foot and Mouth Disease,Mysuru,Karnataka,2026-05-30,1822,Moderate
OUT-5041,African Swine Fever,Madurai,Tamil Nadu,2026-05-01,642,Moderate
OUT-5042,Foot and Mouth Disease,Thrissur,Kerala,2026-01-03,1070,Moderate
OUT-5043,African Swine Fever,Karimnagar,Telangana,2026-01-15,496,Moderate
OUT-5044,Bird Flu,Tirupati,Andhra Pradesh,2026-04-19,714,Low
OUT-5045,African Swine Fever,Kochi,Kerala,2026-07-21,150,Moderate
OUT-5046,Swine Influenza,Karimnagar,Telangana,2026-06-27,1426,High
OUT-5047,Foot and Mouth Disease,Warangal,Telangana,2026-08-07,1194,Moderate
OUT-5048,Newcastle Disease,Bengaluru,Karnataka,2026-03-18,867,Moderate
OUT-5049,Swine Influenza,Chennai,Tamil Nadu,2026-08-13,1626,High
OUT-5050,African Swine Fever,Visakhapatnam,Andhra Pradesh,2026-08-24,17,Moderate
OUT-5051,Swine Influenza,Thiruvananthapuram,Kerala,2026-06-09,446,Low
OUT-5052,Swine Influenza,Bengaluru,Karnataka,2026-02-22,829,Low
OUT-5053,Foot and Mouth Disease,Coimbatore,Tamil Nadu,2026-01-03,161,Moderate
