locationId,farmId,latitude,longitude,hotspotStatus
GIS-9000,FARM-2000,17.398912,78.46285,Inactive
GIS-9001,FARM-2001,18.714787,78.120449,Active
GIS-9002,FARM-2002,17.324129,78.474604,Monitoring
GIS-9003,FARM-2003,17.72252,83.205609,Monitoring
GIS-9004,FARM-2004,18.661376,78.111806,Inactive
GIS-9005,FARM-2005,11.295964,77.694857,Inactive
GIS-9006,FARM-2006,13.615119,79.415722,Active
GIS-9007,FARM-2007,18.694855,78.053229,Active
GIS-9008,FARM-2008,9.935621,78.101607,Inactive
GIS-9009,FARM-2009,16.328755,80.449254,Active
GIS-9010,FARM-2010,11.603312,78.207527,Inactive
GIS-9011,FARM-2011,17.675271,83.162414,Active
GIS-9012,FARM-2012,9.965824,76.272962,Inactive
GIS-9013,FARM-2013,16.504444,80.677213,Inactive
GIS-9014,FARM-2014,12.948914,77.549981,Monitoring
GIS-9015,FARM-2015,8.496369,76.961561,Active
GIS-9016,FARM-2016,13.656135,79.452893,Active
GIS-9017,FARM-2017,9.941038,76.296392,Inactive
GIS-9018,FARM-2018,18.486567,79.170358,Active
GIS-9019,FARM-2019,13.137718,80.284027,Inactive
GIS-9020,FARM-2020,9.920031,78.146527,Inactive
GIS-9021,FARM-2021,11.325069,77.749194,Monitoring
GIS-9022,FARM-2022,11.725495,78.138184,Inactive
GIS-9023,FARM-2023,15.38129,75.115034,Active
GIS-9024,FARM-2024,13.637383,79.392188,Inactive
GIS-9025,FARM-2025,17.405591,78.528749,Inactive
GIS-9026,FARM-2026,11.626827,78.124289,Inactive
GIS-9027,FARM-2027,18.454413,79.144794,Inactive
GIS-9028,FARM-2028,17.349238,78.498158,Monitoring
GIS-9029,FARM-2029,17.373082,78.479215,Monitoring
GIS-9030,FARM-2030,12.963537,77.569331,Monitoring
GIS-9031,FARM-2031,18.631489,78.116649,Inactive
GIS-9032,FARM-2032,11.335704,77.724512,Inactive
GIS-9033,FARM-2033,11.376373,77.683331,Inactive
GIS-9034,FARM-2034,12.290615,76.623215,Inactive
GIS-9035,FARM-2035,16.525351,80.681363,Monitoring
GIS-9036,FARM-2036,13.077369,80.25254,Active
GIS-9037,FARM-2037,10.585195,76.195759,Active
GIS-9038,FARM-2038,18.697502,78.096892,Inactive
GIS-9039,FARM-2039,11.631098,78.174233,Inactive
GIS-9040,FARM-2040,11.019191,76.963086,Inactive
GIS-9041,FARM-2041,10.811431,78.649198,Inactive
GIS-9042,FARM-2042,10.989967,76.956423,Monitoring
GIS-9043,FARM-2043,9.900728,78.064093,Inactive
