livestockId,farmId,animalType,breed,age,quantity,healthStatus
LV-3000,FARM-2091,Layer,Kadaknath,34 months,155,Healthy
LV-3001,FARM-2077,Layer,Cobb 500,8 months,441,Healthy
LV-3002,FARM-2098,Breeder,Lohmann Brown,28 months,236,At Risk
LV-3003,FARM-2052,Layer,Vanraja,26 months,217,Healthy
LV-3004,FARM-2040,Pig,Tamworth,21 months,345,Healthy
LV-3005,FARM-2019,Pig,Chester White,5 months,51,At Risk
LV-3006,FARM-2011,Pig,Tamworth,7 months,386,Healthy
LV-3007,FARM-2016,Breeder,Ross 308,36 months,292,Healthy
LV-3008,FARM-2015,Layer,Aseel,28 months,449,At Risk
LV-3009,FARM-2006,Pig,Berkshire,20 months,185,Healthy
LV-3010,FARM-2064,Pig,Hampshire,10 months,341,Healthy
LV-3011,FARM-2013,Layer,Aseel,8 months,395,Healthy
LV-3012,FARM-2028,Layer,Ross 308,18 months,19,Healthy
LV-3013,FARM-2089,Pig,Berkshire,22 months,184,Healthy
LV-3014,FARM-2018,Breeder,Kadaknath,5 months,77,Healthy
LV-3015,FARM-2003,Broiler,Lohmann Brown,25 months,219,Healthy
LV-3016,FARM-2020,Layer,Giriraja,21 months,402,Sick
LV-3017,FARM-2076,Broiler,Ross 308,10 months,85,At Risk
LV-3018,FARM-2006,Pig,Duroc,18 months,231,Healthy
LV-3019,FARM-2062,Breeder,Vanraja,27 months,144,Healthy
LV-3020,FARM-2065,Broiler,Aseel,28 months,61,Healthy
LV-3021,FARM-2086,Breeder,Vanraja,34 months,346,Healthy
LV-3022,FARM-2028,Layer,Ross 308,1 months,109,Healthy
LV-3023,FARM-2027,Broiler,Giriraja,19 months,172,Healthy
LV-3024,FARM-2063,Breeder,Kadaknath,12 months,71,Healthy
LV-3025,FARM-2090,Broiler,Aseel,5 months,208,At Risk
LV-3026,FARM-2005,Pig,Tamworth,2 months,240,At Risk
LV-3027,FARM-2040,Pig,Tamworth,26 months,368,Healthy
LV-3028,FARM-2037,Pig,Duroc,26 months,15,Sick
LV-3029,FARM-2021,Breeder,Vanraja,24 months,50,Healthy
LV-3030,FARM-2013,Broiler,Kadaknath,26 months,273,Healthy
LV-3031,FARM-2039,Pig,Pietrain,15 months,175,At Risk
