vaccinationId,farmId,vaccineName,vaccinationDate,nextDueDate,status
VAC-4000,FARM-2019,Fowl Cholera Vaccine,2026-03-26,2026-09-22,Scheduled
VAC-4001,FARM-2065,Mycoplasma Vaccine,2026-07-17,2027-01-13,Completed
VAC-4002,FARM-2051,Mycoplasma Vaccine,2026-07-19,2026-10-17,Completed
VAC-4003,FARM-2000,Avian Influenza Vaccine,2026-06-26,2026-12-23,Completed
VAC-4004,FARM-2068,Marek's Disease Vaccine,2026-03-27,2027-03-27,Completed
VAC-4005,FARM-2007,Fowl Cholera Vaccine,2026-06-15,2026-09-13,Completed
VAC-4006,FARM-2043,CSF Vaccine,2026-08-04,2027-01-31,Scheduled
VAC-4007,FARM-2037,Mycoplasma Vaccine,2026-02-21,2026-05-22,Scheduled
VAC-4008,FARM-2049,Fowl Cholera Vaccine,2026-02-18,2026-08-17,Scheduled
VAC-4009,FARM-2013,Fowl Cholera Vaccine,2026-06-26,2026-12-23,Completed
VAC-4010,FARM-2080,Avian Influenza Vaccine,2026-07-08,2026-10-06,Completed
VAC-4011,FARM-2024,Newcastle Disease Vaccine,2026-07-04,2027-07-04,Completed
VAC-4012,FARM-2049,Newcastle Disease Vaccine,2026-07-22,2027-07-22,Scheduled
VAC-4013,FARM-2063,Erysipelas Vaccine,2026-08-02,2027-01-29,Pending
VAC-4014,FARM-2002,Newcastle Disease Vaccine,2026-03-28,2026-06-26,Completed
VAC-4015,FARM-2092,CSF Vaccine,2026-04-14,2026-07-13,Completed
VAC-4016,FARM-2083,Fowl Cholera Vaccine,2026-05-14,2026-11-10,Pending
VAC-4017,FARM-2068,IBD Vaccine,2026-07-09,2027-07-09,Completed
VAC-4018,FARM-2009,Newcastle Disease Vaccine,2026-07-08,2026-10-06,Completed
VAC-4019,FARM-2002,Avian Influenza Vaccine,2026-08-21,2027-08-21,Completed
VAC-4020,FARM-2089,Mycoplasma Vaccine,2026-02-03,2026-05-04,Completed
VAC-4021,FARM-2006,PCV2 Vaccine,2026-07-30,2026-10-28,Completed
VAC-4022,FARM-2021,IB Vaccine,2026-01-17,2026-04-17,Completed
VAC-4023,FARM-2076,Erysipelas Vaccine,2026-02-26,2026-05-27,Scheduled
VAC-4024,FARM-2054,PCV2 Vaccine,2026-07-27,2027-07-27,Scheduled
VAC-4025,FARM-2041,Newcastle Disease Vaccine,2026-06-25,2027-06-25,Completed
VAC-4026,FARM-2041,IBD Vaccine,2026-07-15,2026-10-13,Scheduled
VAC-4027,FARM-2042,CSF Vaccine,2026-01-31,2026-07-30,Completed
